"","SCHOOL.CODE","PUBLIC..PRIVATE","Public.School.District.ID","PUBLIC.SCHOOL.DISTRICT","CITY","COUNTY","SCHOOL.NAME","ENROLLMENT","UP_TO_DATE","CONDITIONAL","PME","PBE_BETA","DTP","POLIO","MMR","HEPB","VARICELLA","REPORTED","DTP_Perc","POLIO_Perc","MMR_Perc","HEPB_Perc","UP_TO_DATE_Perc","CONDITIONAL_Perc"
"130",6107858,"PUBLIC","600029","MURRIETA VALLEY UNIFIED","MURRIETA","RIVERSIDE","E. HALE CURRAN ELEMENTARY",104,98,2,0,4,99,99,98,100,100,"Y",95.1923076923077,95.1923076923077,94.2307692307692,96.1538461538462,94.2307692307692,1.92307692307692
"131",6108153,"PUBLIC","600029","MURRIETA VALLEY UNIFIED","MURRIETA","RIVERSIDE","RAIL RANCH ELEMENTARY",95,83,8,0,4,87,88,87,90,89,"Y",91.578947368421,92.6315789473684,91.578947368421,94.7368421052632,87.3684210526316,8.42105263157895
"132",6113625,"PUBLIC","600029","MURRIETA VALLEY UNIFIED","MURRIETA","RIVERSIDE","TOVASHAL ELEMENTARY",105,96,2,5,2,96,96,97,98,98,"Y",91.4285714285714,91.4285714285714,92.3809523809524,93.3333333333333,91.4285714285714,1.9047619047619
"133",6117659,"PUBLIC","600029","MURRIETA VALLEY UNIFIED","MURRIETTA","RIVERSIDE","COLE CANYON ELEMENTARY",189,173,0,1,15,173,173,173,173,173,"Y",91.5343915343915,91.5343915343915,91.5343915343915,91.5343915343915,91.5343915343915,0
"134",6118558,"PUBLIC","600029","MURRIETA VALLEY UNIFIED","MURRIETA","RIVERSIDE","DANIEL N. BUCHANAN ELEMENTARY",183,173,4,1,5,174,176,173,177,177,"Y",95.0819672131148,96.1748633879781,94.5355191256831,96.7213114754098,94.5355191256831,2.18579234972678
"135",118349,"PUBLIC","600031","BIG SUR UNIFIED","BIG SUR","MONTEREY","BIG SUR CHARTER",13,3,0,0,10,3,3,3,3,3,"Y",23.0769230769231,23.0769230769231,23.0769230769231,23.0769230769231,23.0769230769231,0
"136",6022008,"PUBLIC","600032","REDONDO BEACH UNIFIED","REDONDO BEACH","LOS ANGELES","ALTA VISTA ELEMENTARY",103,90,2,0,11,90,90,90,92,92,"Y",87.378640776699,87.378640776699,87.378640776699,89.3203883495146,87.378640776699,1.94174757281553
"137",6022024,"PUBLIC","600032","REDONDO BEACH UNIFIED","REDONDO BEACH","LOS ANGELES","BERYL HEIGHTS ELEMENTARY",54,48,0,0,6,48,48,48,48,48,"Y",88.8888888888889,88.8888888888889,88.8888888888889,88.8888888888889,88.8888888888889,0
"138",6022032,"PUBLIC","600032","REDONDO BEACH UNIFIED","REDONDO BEACH","LOS ANGELES","BIRNEY ELEMENTARY",63,56,0,0,7,56,56,56,56,56,"Y",88.8888888888889,88.8888888888889,88.8888888888889,88.8888888888889,88.8888888888889,0
"139",6022099,"PUBLIC","600032","REDONDO BEACH UNIFIED","REDONDO BEACH","LOS ANGELES","JEFFERSON ELEMENTARY",93,86,0,1,6,86,86,86,86,86,"Y",92.4731182795699,92.4731182795699,92.4731182795699,92.4731182795699,92.4731182795699,0
"140",6022107,"PUBLIC","600032","REDONDO BEACH UNIFIED","REDONDO BEACH","LOS ANGELES","LINCOLN ELEMENTARY",89,85,0,0,4,85,85,85,85,85,"Y",95.5056179775281,95.5056179775281,95.5056179775281,95.5056179775281,95.5056179775281,0
"141",6022115,"PUBLIC","600032","REDONDO BEACH UNIFIED","REDONDO BEACH","LOS ANGELES","MADISON ELEMENTARY",71,65,1,0,5,65,65,66,66,65,"Y",91.5492957746479,91.5492957746479,92.9577464788732,92.9577464788732,91.5492957746479,1.40845070422535
"142",6022149,"PUBLIC","600032","REDONDO BEACH UNIFIED","REDONDO BEACH","LOS ANGELES","TULITA ELEMENTARY",121,92,18,3,8,99,98,94,105,108,"Y",81.8181818181818,80.9917355371901,77.6859504132231,86.7768595041322,76.0330578512397,14.8760330578512
"143",6022156,"PUBLIC","600032","REDONDO BEACH UNIFIED","REDONDO BEACH","LOS ANGELES","WASHINGTON ELEMENTARY",161,147,9,1,4,149,154,150,153,155,"Y",92.5465838509317,95.6521739130435,93.167701863354,95.0310559006211,91.304347826087,5.59006211180124
"144",6025431,"PUBLIC","600033","DOS PALOS ORO LOMA JOINT UNIFIED","DOS PALOS","MERCED","DOS PALOS ELEMENTARY",213,208,2,1,2,209,209,208,210,210,"Y",98.1220657276995,98.1220657276995,97.6525821596244,98.5915492957747,97.6525821596244,0.938967136150235
"145",114934,"PUBLIC","600034","WINDSOR UNIFIED","SANTA ROSA","SONOMA","VILLAGE CHARTER",26,10,8,0,8,12,10,11,14,15,"Y",46.1538461538462,38.4615384615385,42.3076923076923,53.8461538461538,38.4615384615385,30.7692307692308
"146",6052369,"PUBLIC","600034","WINDSOR UNIFIED","WINDSOR","SONOMA","CALI CALMECAC LANGUAGE ACADEMY",144,137,1,0,6,138,138,138,137,138,"Y",95.8333333333333,95.8333333333333,95.8333333333333,95.1388888888889,95.1388888888889,0.694444444444444
"147",6110993,"PUBLIC","600034","WINDSOR UNIFIED","SANTA ROSA","SONOMA","MATTIE WASHBURN ELEMENTARY",284,267,6,0,11,268,268,267,271,271,"Y",94.3661971830986,94.3661971830986,94.0140845070423,95.4225352112676,94.0140845070423,2.11267605633803
