"","DistrictName","WithDTP","WithPolio","WithMMR","WithHepB","PctUpToDate","DistrictComplete","PctBeliefExempt","PctMedicalExempt","PctChildPoverty","PctFamilyPoverty","PctFreeMeal","Enrolled","TotalSchools"
"546","Orinda Union Elementary",87,87,87,94,84,TRUE,3,0,4,1,NA,262,4
"170","Alta Loma Elementary",95,95,95,95,94,TRUE,4,0,12,4,NA,607,8
"571","Dixie Elementary",95,95,95,94,94,TRUE,5,0,7,2,11,249,3
"67","Ocean View",93,93,93,95,92,TRUE,4,1,15,7,44,1405,14
"365","Chualar Union",92,92,92,92,90,TRUE,0,0,19,10,83,48,1
"412","Scotts Valley Unified",96,97,96,96,95,TRUE,3,0,5,2,NA,186,2
"629","Mark West Union Elementary",92,92,90,92,90,TRUE,1,3,27,10,28,223,3
"591","Wilmar Union Elementary",55,64,52,75,48,TRUE,7,0,13,3,22,44,1
"566","Ross Valley Elementary",84,84,84,84,83,TRUE,15,0,8,4,8,272,4
"470","Ballico-Cressey Elementary",93,93,91,93,91,TRUE,0,0,23,10,61,44,1
"271","Beardsley Elementary",91,91,90,92,89,TRUE,2,0,36,27,NA,259,3
"392","Aromas/San Juan Unified",93,93,93,96,93,TRUE,1,0,10,9,NA,82,2
"309","Woodville Union Elementary",100,100,100,100,100,TRUE,0,0,63,38,NA,55,1
"549","Valley Home Joint Elementary",95,95,95,95,95,TRUE,5,0,25,8,43,21,1
"680","Ackerman Charter",92,89,94,97,87,TRUE,1,0,13,10,NA,71,1
"775","Pacheco Union Elementary",88,88,88,86,86,TRUE,6,3,18,8,49,77,1
"18","Cajon Valley Union",94,95,96,96,92,TRUE,2,0,29,15,58,1880,20
"339","Mission Union Elementary",89,94,100,100,89,TRUE,0,0,23,10,9,18,1
"750","Corning Union Elementary",97,97,97,97,97,TRUE,3,0,33,18,NA,282,4
"747","Chico Unified",87,87,86,89,86,TRUE,8,0,21,12,NA,1092,18
"543","Reed Union Elementary",91,90,90,89,85,TRUE,6,1,13,4,2,175,1
"714","Live Oak Unified",97,97,96,97,95,TRUE,3,0,28,20,68,152,1
"236","Cuyama Joint Unified",96,96,96,96,96,TRUE,4,0,27,17,65,23,1
"602","Sonoma Valley Unified",95,95,95,96,94,TRUE,3,0,14,8,NA,418,7
"726","Camptonville Elementary",55,55,55,55,55,TRUE,45,0,15,10,NA,20,1
"751","Paradise Unified",85,84,83,89,79,TRUE,8,0,23,10,56,376,6
"598","Two Rock Union",83,87,87,96,83,TRUE,0,0,12,4,32,23,1
"156","Fontana Unified",98,99,99,99,98,TRUE,1,0,27,17,75,3155,29
"425","La Honda-Pescadero Unified",89,86,97,95,86,TRUE,3,0,7,6,NA,37,2
"304","San Ardo Union Elementary",100,100,100,100,100,TRUE,0,0,21,6,NA,13,1
"491","Pacifica",93,94,94,96,93,TRUE,3,0,7,3,NA,335,5
"776","Black Butte Union Elementary",76,76,76,90,76,TRUE,0,0,57,8,NA,21,1
"818","Mt. Shasta Union Elementary",80,80,80,80,80,TRUE,9,0,27,9,28,55,1
"225","Adelanto Elementary",93,94,92,95,90,TRUE,1,0,34,23,NA,1006,11
"364","Raisin City Elementary",98,95,95,98,91,TRUE,0,0,48,26,88,57,1
"611","Vacaville Unified",96,97,97,97,96,TRUE,2,0,14,8,38,938,10
"387","North Monterey County Unified",97,98,98,99,97,TRUE,1,0,24,10,67,375,4
"174","Claremont Unified",90,90,90,90,90,TRUE,10,0,14,6,33,428,7
"424","Le Grand Union Elementary",97,97,97,97,97,TRUE,3,0,32,18,NA,39,1
"773","Happy Valley Union Elementary",86,94,94,94,86,TRUE,6,0,36,13,NA,35,1
"753","Fort Sage Unified",69,77,77,92,69,TRUE,0,0,11,5,75,13,1
"395","North County Joint Union Elementary",89,89,89,97,89,TRUE,0,1,17,12,NA,74,1
"599","Travis Unified",95,96,95,98,93,TRUE,1,0,10,4,19,381,5
"137","Yucaipa-Calimesa Joint Unified",92,91,92,94,91,TRUE,6,0,17,8,43,783,8
"151","Baldwin Park Unified",99,99,99,99,98,TRUE,1,0,29,16,79,1172,12
"370","Parlier Unified",100,100,99,100,99,TRUE,0,0,45,29,65,328,4
"372","Washington Colony Elementary",98,98,98,100,98,TRUE,0,0,44,16,74,58,1
"360","Clay Joint Elementary",96,96,96,96,96,TRUE,4,0,34,20,17,24,1
"687","Placer Hills Union Elementary",96,96,96,96,96,TRUE,4,0,7,5,29,94,1
"187","Mesa Union Elementary",55,58,58,66,53,TRUE,33,0,15,6,NA,125,2
"468","Menlo Park City Elementary",92,92,92,94,90,TRUE,4,0,4,3,NA,354,3
"340","Soledad Unified",100,100,100,100,100,TRUE,0,0,29,17,NA,416,5
"721","Potter Valley Community Unified",100,100,100,100,94,TRUE,0,0,23,11,NA,17,1
"242","Muroc Joint Unified",97,97,97,97,97,TRUE,3,0,30,15,22,185,2
"410","Mountain Elementary",93,93,93,93,93,TRUE,7,0,11,6,5,15,1
"477","San Carlos Elementary",90,90,92,92,86,TRUE,6,0,4,2,5,414,5
"237","El Tejon Unified",76,78,76,85,72,TRUE,11,0,22,4,69,46,1
"144","Alhambra Unified",96,97,97,98,94,TRUE,2,0,27,11,51,931,13
"777","Westwood Unified",76,71,71,76,71,TRUE,0,0,26,24,59,17,1
"568","Pittsburg Unified",98,98,98,99,98,TRUE,0,0,27,15,74,980,8
"730","Oroville City Elementary",95,96,95,98,93,TRUE,1,0,28,9,NA,332,5
"355","Caruthers Unified",93,94,94,99,91,TRUE,0,0,43,21,85,116,1
"123","Chino Valley Unified",96,96,96,97,96,TRUE,3,0,14,6,NA,1942,23
"100","Manhattan Beach Unified",90,90,92,91,89,TRUE,6,2,5,2,NA,466,5
"378","Salinas City Elementary",93,94,94,98,92,TRUE,0,0,33,16,NA,1406,13
"531","Manteca Unified",99,99,99,99,99,TRUE,1,0,16,8,54,1509,20
"263","Edison Elementary",95,95,95,95,94,TRUE,0,1,30,16,77,110,1
"557","Ross Elementary",96,96,96,92,92,TRUE,4,0,8,6,0,49,1
"341","Kings River-Hardwick Union Elementary",99,99,99,99,99,TRUE,1,0,17,2,NA,98,1
"114","Little Lake City Elementary",95,95,95,96,93,TRUE,2,0,17,6,50,493,7
"472","Redwood City Elementary",85,88,84,96,75,TRUE,1,0,18,8,47,1062,14
"290","Pleasant Valley Joint Union Elementary",92,92,92,92,92,TRUE,8,0,19,7,NA,12,1
"215","Mupu Elementary",79,79,79,79,79,TRUE,14,0,12,5,43,14,1
"748","Kirkwood Elementary",93,93,93,93,93,TRUE,7,0,31,14,41,14,1
"85","Torrance Unified",95,95,95,96,92,TRUE,2,0,10,5,19,1718,17
"662","Middletown Unified",83,84,83,85,83,TRUE,14,0,21,10,43,142,4
"617","Wright Elementary",98,98,98,99,98,TRUE,1,0,14,12,55,230,3
"388","Lagunita Elementary",100,100,100,100,100,TRUE,0,0,14,4,NA,10,1
"684","Konocti Unified",87,88,87,96,84,TRUE,1,0,37,25,83,309,4
"120","East Whittier City Elementary",94,95,94,97,92,TRUE,2,0,15,6,45,1050,10
"475","Ravenswood City Elementary",99,99,99,99,99,TRUE,0,0,23,16,88,524,7
"153","Charter Oak Unified",96,96,91,95,91,TRUE,2,0,14,6,51,368,5
"555","Kentfield Elementary",90,92,92,92,83,TRUE,3,0,5,2,3,154,1
"315","Tulare City",98,98,98,98,98,TRUE,1,0,34,17,70,1160,11
"274","Richland Union Elementary",99,99,99,99,99,TRUE,0,0,34,17,81,499,3
"675","Newcastle Elementary",78,77,78,84,77,TRUE,16,0,18,7,8,128,3
"822","Scott Valley Unified",84,89,80,89,80,TRUE,11,0,26,11,59,44,2
"56","Laguna Beach Unified",81,79,79,79,73,TRUE,15,0,9,4,8,146,2
"720","Marysville Joint Unified",93,95,93,97,91,TRUE,2,0,30,16,NA,863,15
"36","San Pasqual Union Elementary",87,87,87,90,88,TRUE,8,0,9,6,NA,48,1
