index,date,day_of_week,day_night,v_name,h_name,h_wins_last_30,h_hr_last_30,h_hits_last_30,h_runs_last_30,h_game_number,attendance,Year,division,home_had_top3_award_player,visitor_had_top3_award_player,h_division,v_division,rivalry_game,h_win_perc,v_win_perc
147645,2007-04-04,Wed,N,BOS,KCA,15,0.7666666666666667,10,5.233333333333333,2,22348,2007,AL CENTRAL,1,1,AL CENTRAL,AL EAST,0,0.426,0.593
147646,2007-04-04,Wed,N,BAL,MIN,20,0.8333333333333334,10.433333333333334,4.9,3,27539,2007,AL CENTRAL,0,0,AL CENTRAL,AL EAST,0,0.488,0.426
147647,2007-04-04,Wed,N,OAK,SEA,17,1.3,10.6,5.466666666666667,3,22816,2007,AL WEST,0,0,AL WEST,AL WEST,1,0.543,0.469
147648,2007-04-05,Thu,D,CHN,CIN,14,0.8333333333333334,7.2,3.2333333333333334,3,25070,2007,NL CENTRAL,0,0,NL CENTRAL,NL CENTRAL,1,0.444,0.525
147649,2007-04-05,Thu,D,ATL,PHI,18,1.3333333333333333,9.766666666666667,5.4,3,30062,2007,NL EAST,1,0,NL EAST,NL EAST,1,0.549,0.519
147650,2007-04-05,Thu,N,SDN,SFN,11,1.0666666666666669,8.233333333333333,4.433333333333334,3,37914,2007,NL EAST,0,1,NL EAST,NL WEST,0,0.438,0.546
147651,2007-04-05,Thu,N,ARI,WAS,14,0.6,9.033333333333331,4.6,4,16017,2007,NL EAST,0,1,NL EAST,NL WEST,0,0.451,0.556
147652,2007-04-05,Thu,N,OAK,ANA,22,1,9.733333333333333,4.4,4,39234,2007,AL WEST,1,0,AL WEST,AL WEST,1,0.58,0.469
147653,2007-04-05,Thu,D,CLE,CHA,12,1.3,8.7,4.3,3,24141,2007,AL CENTRAL,0,1,AL CENTRAL,AL CENTRAL,1,0.444,0.593
147654,2007-04-05,Thu,D,BOS,KCA,14,0.7666666666666667,9.7,5.133333333333334,3,23170,2007,AL CENTRAL,1,1,AL CENTRAL,AL EAST,0,0.426,0.593
147655,2007-04-05,Thu,N,TBA,NYA,18,1.4333333333333331,9.833333333333334,6.2,2,52096,2007,AL EAST,1,1,AL EAST,AL EAST,1,0.58,0.407
147656,2007-04-06,Fri,N,NYN,ATL,18,1.5,8.766666666666667,5.066666666666666,4,51014,2007,NL EAST,0,0,NL EAST,NL EAST,1,0.519,0.543
147657,2007-04-06,Fri,N,PIT,CIN,14,0.8333333333333334,7.1,3.2,4,17837,2007,NL CENTRAL,0,0,NL CENTRAL,NL CENTRAL,1,0.444,0.42
147658,2007-04-06,Fri,N,PHI,MIA,13,1.2666666666666666,9.566666666666666,4.866666666666666,4,40397,2007,NL EAST,0,1,NL EAST,NL EAST,1,0.438,0.549
147659,2007-04-06,Fri,N,SLN,HOU,16,1.2333333333333334,8.2,4.1,4,43430,2007,NL CENTRAL,1,0,NL CENTRAL,NL CENTRAL,1,0.451,0.481
147660,2007-04-06,Fri,N,CHN,MIL,15,1.1333333333333333,8.7,4.766666666666667,4,41758,2007,NL CENTRAL,1,0,NL CENTRAL,NL CENTRAL,1,0.512,0.525
147661,2007-04-06,Fri,N,COL,SDN,21,0.9666666666666668,9.266666666666667,4.833333333333333,4,44267,2007,NL WEST,1,1,NL WEST,NL WEST,1,0.546,0.552
147662,2007-04-06,Fri,N,LAN,SFN,11,1.0333333333333334,8.1,4.333333333333333,4,43146,2007,NL EAST,0,1,NL EAST,NL WEST,0,0.438,0.506
147663,2007-04-06,Fri,N,ARI,WAS,13,0.6333333333333333,9.166666666666666,4.533333333333333,5,19234,2007,NL EAST,0,1,NL EAST,NL WEST,0,0.451,0.556
147664,2007-04-06,Fri,N,OAK,ANA,21,1.0333333333333334,9.666666666666666,4.266666666666667,5,43534,2007,AL WEST,1,0,AL WEST,AL WEST,1,0.58,0.469
147665,2007-04-06,Fri,N,DET,KCA,14,0.7666666666666667,9.766666666666667,5.133333333333334,4,13330,2007,AL CENTRAL,1,1,AL CENTRAL,AL CENTRAL,1,0.426,0.543
147666,2007-04-06,Fri,N,BAL,NYA,18,1.4333333333333331,10.233333333333333,6.366666666666666,3,50074,2007,AL EAST,1,0,AL EAST,AL EAST,1,0.58,0.426
147667,2007-04-06,Fri,N,TOR,TBA,9,1.1666666666666667,8.933333333333334,4.066666666666666,3,38437,2007,AL EAST,1,0,AL EAST,AL EAST,1,0.407,0.512
147668,2007-04-06,Fri,D,BOS,TEX,11,1.1333333333333333,9.266666666666667,4.733333333333333,4,51548,2007,AL WEST,0,1,AL WEST,AL EAST,0,0.463,0.593
147669,2007-04-07,Sat,D,NYN,ATL,17,1.5333333333333334,8.833333333333334,5,5,43156,2007,NL EAST,0,0,NL EAST,NL EAST,1,0.519,0.543
147670,2007-04-07,Sat,D,PIT,CIN,15,0.8666666666666667,7.366666666666666,3.3666666666666667,5,15825,2007,NL CENTRAL,0,0,NL CENTRAL,NL CENTRAL,1,0.444,0.42
147671,2007-04-07,Sat,N,PHI,MIA,12,1.3,9.433333333333334,4.6,5,32419,2007,NL EAST,0,1,NL EAST,NL EAST,1,0.438,0.549
147672,2007-04-07,Sat,N,SLN,HOU,16,1.1666666666666667,8.333333333333334,4.1,5,41885,2007,NL CENTRAL,1,0,NL CENTRAL,NL CENTRAL,1,0.451,0.481
147673,2007-04-07,Sat,D,CHN,MIL,15,1.1,8.566666666666666,4.666666666666667,5,41282,2007,NL CENTRAL,1,0,NL CENTRAL,NL CENTRAL,1,0.512,0.525
147674,2007-04-07,Sat,N,COL,SDN,20,1.0333333333333334,9.3,4.866666666666666,5,40504,2007,NL WEST,1,1,NL WEST,NL WEST,1,0.546,0.552
