index,date,day_of_week,day_night,v_name,h_name,h_wins_last_30,h_hr_last_30,h_hits_last_30,h_runs_last_30,h_game_number,attendance
147664,2007-04-06,Fri,N,OAK,ANA,21,1.0333333333333334,9.666666666666666,4.266666666666667,5,43534
147665,2007-04-06,Fri,N,DET,KCA,14,0.7666666666666667,9.766666666666667,5.133333333333334,4,13330
147666,2007-04-06,Fri,N,BAL,NYA,18,1.4333333333333333,10.233333333333333,6.366666666666666,3,50074
147667,2007-04-06,Fri,N,TOR,TBA,9,1.1666666666666667,8.933333333333334,4.066666666666666,3,38437
147668,2007-04-06,Fri,D,BOS,TEX,11,1.1333333333333333,9.266666666666667,4.733333333333333,4,51548
147669,2007-04-07,Sat,D,NYN,ATL,17,1.5333333333333334,8.833333333333334,5,5,43156
147670,2007-04-07,Sat,D,PIT,CIN,15,0.8666666666666667,7.366666666666666,3.3666666666666667,5,15825
147671,2007-04-07,Sat,N,PHI,MIA,12,1.3,9.433333333333334,4.6,5,32419
147672,2007-04-07,Sat,N,SLN,HOU,16,1.1666666666666667,8.333333333333334,4.1,5,41885
147673,2007-04-07,Sat,D,CHN,MIL,15,1.1,8.566666666666666,4.666666666666667,5,41282
147674,2007-04-07,Sat,N,COL,SDN,20,1.0333333333333334,9.3,4.866666666666666,5,40504
147675,2007-04-07,Sat,D,LAN,SFN,11,1.0333333333333334,8.266666666666667,4.3,5,42098
147676,2007-04-07,Sat,N,ARI,WAS,12,0.6,9,4.433333333333334,6,16617
147677,2007-04-07,Sat,N,OAK,ANA,21,1.0666666666666667,9.833333333333334,4.366666666666666,6,44007
147678,2007-04-07,Sat,D,MIN,CHA,12,1.3,8.466666666666667,4.266666666666667,4,33278
147679,2007-04-07,Sat,D,DET,KCA,14,0.7333333333333333,9.7,5,5,13899
147680,2007-04-07,Sat,D,BAL,NYA,17,1.3666666666666667,10.066666666666666,6.166666666666667,4,50510
147681,2007-04-07,Sat,N,TOR,TBA,9,1.3,9.166666666666666,4.2,4,18495
147682,2007-04-07,Sat,N,BOS,TEX,12,1.1,9.133333333333333,4.733333333333333,5,40865
147683,2007-04-08,Sun,D,NYN,ATL,17,1.5666666666666667,8.8,5,6,24832
147684,2007-04-08,Sun,D,PIT,CIN,16,0.9,7.5,3.566666666666667,6,14001
147685,2007-04-08,Sun,D,PHI,MIA,12,1.2666666666666666,9.433333333333334,4.6,6,16308
147686,2007-04-08,Sun,D,SLN,HOU,16,1.2333333333333334,8.6,4.2,6,36273
147687,2007-04-08,Sun,D,CHN,MIL,15,1.1666666666666667,8.566666666666666,4.666666666666667,6,28019
147688,2007-04-08,Sun,D,COL,SDN,20,0.9666666666666667,9.333333333333334,4.733333333333333,6,27086
147689,2007-04-08,Sun,D,LAN,SFN,10,0.9333333333333333,8.2,4.2,6,39343
147690,2007-04-08,Sun,D,ARI,WAS,12,0.6333333333333333,9.133333333333333,4.466666666666667,7,17224
147691,2007-04-08,Sun,D,OAK,ANA,21,1.0666666666666667,9.933333333333334,4.4,7,37783
147692,2007-04-08,Sun,D,MIN,CHA,13,1.2666666666666666,8.5,4.266666666666667,5,27653
147693,2007-04-08,Sun,D,DET,KCA,14,0.7666666666666667,9.666666666666666,5.066666666666666,6,13109
147694,2007-04-08,Sun,D,BAL,NYA,17,1.4,9.733333333333333,6.1,5,47679
147695,2007-04-08,Sun,D,TOR,TBA,9,1.2666666666666666,9.066666666666666,4.266666666666667,5,12436
